date,zone,MWh
2020-01-01,NO1,47933
2020-01-01,NO2,109564
2020-01-01,NO3,58038
2020-01-01,NO4,74595
2020-01-01,NO5,72619
2020-01-02,NO1,47230
2020-01-02,NO2,113057
2020-01-02,NO3,60338
2020-01-02,NO4,70885
2020-01-02,NO5,64456
